work_order_id,seat_id,registration,suite,opened_at,closed_at,reported_fault_code,reported_symptom,station,action_taken,part_replaced,outcome,shop_finding,labour_hours,total_cost_eur
WO-70089,D-AXFA-3K,D-AXFA,3K,2025-12-24T16:00:00Z,2025-12-30T16:00:00Z,F-25-2166,"USB socket 3K not charging, pax used the spare seat.",FRA,Component replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,3.8,3800
WO-70094,D-AXFB-1A,D-AXFB,1A,2025-12-30T08:00:00Z,2026-01-04T08:00:00Z,F-25-2166,"1A: USB dead, no light on the port.",SIN,Harness segment replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,1.9,3800
WO-70067,D-AXFF-2A,D-AXFF,2A,2026-01-03T02:00:00Z,2026-01-03T02:00:00Z,,"Suite 2A: cosmetic scuff on the table edge, no function impact.",MUC,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,2.2,0
WO-70082,D-AXFA-1K,D-AXFA,1K,2026-01-04T17:00:00Z,2026-01-08T17:00:00Z,F-25-2140,"Intermittent loss of seat control 1K, happened three times, always around turbulence.",FRA,Cleaning and lubrication,DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,1.6,3800
WO-70014,D-AXFF-1K,D-AXFF,1K,2026-01-10T22:00:00Z,2026-01-12T22:00:00Z,F-23-3401,"IFE at 1K went black mid-flight, came back after approx. 20 min.",SIN,Harness segment replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,5.0,3800
WO-70038,D-AXFD-2A,D-AXFD,2A,2026-01-25T02:00:00Z,2026-01-29T02:00:00Z,F-25-2166,"USB socket 2A not charging, pax used the spare seat.",GRU,Harness segment replaced,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,5.4,3800
WO-70023,D-AXFF-4A,D-AXFF,4A,2026-02-02T02:00:00Z,2026-02-03T02:00:00Z,F-25-2140,"Suite 4A controls dead for approx. 2 min after take-off, then normal again.",SIN,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,5.4,10000
WO-70061,D-AXFA-2A,D-AXFA,2A,2026-02-05T05:00:00Z,2026-02-09T05:00:00Z,F-25-2101,"Suite 2A: backrest moves very slowly, pax complained twice during cruise.",FRA,Software reload,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,5.2,3800
WO-70011,D-AXFF-3K,D-AXFF,3K,2026-02-09T23:00:00Z,2026-02-17T23:00:00Z,F-25-2140,"Suite 3K controls dead for approx. 2 min after take-off, then normal again.",MUC,Software reload,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,5.7,33800
WO-70107,D-AXFB-4K,D-AXFB,4K,2026-02-23T08:00:00Z,2026-02-28T08:00:00Z,F-23-3401,"IFE at 4K went black mid-flight, came back after approx. 20 min.",JNB,Cleaning and lubrication,DA-PSU-5150,NFF,No fault found on bench test,4.9,5250
WO-70091,D-AXFE-3A,D-AXFE,3A,2026-03-01T05:00:00Z,2026-03-04T05:00:00Z,,"Suite 3A: cosmetic scuff on the table edge, no function impact.",SIN,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,1.1,0
WO-70060,D-AXFE-2A,D-AXFE,2A,2026-03-06T22:00:00Z,2026-03-15T22:00:00Z,F-25-2140,"Suite 2A controls dead for approx. 2 min after take-off, then normal again.",JNB,Cleaning and lubrication,DA-PSU-5150,NFF,No fault found on bench test,1.9,35250
WO-70139,D-AXFE-4K,D-AXFE,4K,2026-03-09T15:00:00Z,2026-03-21T15:00:00Z,F-25-2166,"USB socket 4K not charging, pax used the spare seat.",FRA,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,4.8,0
WO-70049,D-AXFA-2A,D-AXFA,2A,2026-03-11T22:00:00Z,2026-03-18T22:00:00Z,F-25-2140,"2A: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",JFK,Connector re-seated and locked,,NFF,No fault found on bench test,1.3,20000
WO-70054,D-AXFB-1K,D-AXFB,1K,2026-03-12T20:00:00Z,2026-03-15T20:00:00Z,F-25-2188,"Privacy divider 1K does not fully stow for landing, had to be pushed by hand.",HND,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,3.0,20000
WO-70075,D-AXFE-1A,D-AXFE,1A,2026-03-16T04:00:00Z,2026-03-20T04:00:00Z,F-25-2101,"Seat 1A backrest jerky, would not go flat for the night service.",HND,"Functional test only, no defect found",DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,3.7,33800
WO-70048,D-AXFF-3A,D-AXFF,3A,2026-03-17T02:00:00Z,2026-03-18T02:00:00Z,,"Suite 3A: cosmetic scuff on the table edge, no function impact.",SIN,Connector re-seated and locked,,NFF,No fault found on bench test,3.3,0
WO-70001,D-AXFD-2A,D-AXFD,2A,2026-03-24T06:00:00Z,2026-03-27T06:00:00Z,,"Suite 2A: cosmetic scuff on the table edge, no function impact.",GRU,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,3.6,0
WO-70016,D-AXFC-1A,D-AXFC,1A,2026-04-03T23:00:00Z,2026-04-09T23:00:00Z,F-25-2101,"Suite 1A: backrest moves very slowly, pax complained twice during cruise.",FRA,Connector re-seated and locked,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,1.8,23800
WO-70015,D-AXFE-1K,D-AXFE,1K,2026-04-06T15:00:00Z,2026-04-15T15:00:00Z,,"1K cushion cover loose, cosmetic only.",HND,Connector re-seated and locked,,NFF,No fault found on bench test,5.8,0
WO-70138,D-AXFA-2K,D-AXFA,2K,2026-04-11T11:00:00Z,2026-04-11T11:00:00Z,F-25-2166,"2K: USB dead, no light on the port.",JNB,Component replaced,DA-DIV-1180,CONFIRMED_FAULT,Defect confirmed on bench test,0.6,3800
WO-70076,D-AXFA-4A,D-AXFA,4A,2026-04-16T22:00:00Z,2026-04-17T22:00:00Z,F-25-2101,"4A recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",JNB,Cleaning and lubrication,DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,5.0,13800
WO-70126,D-AXFA-4K,D-AXFA,4K,2026-04-20T21:00:00Z,2026-04-22T21:00:00Z,F-25-2101,"Seat 4K backrest jerky, would not go flat for the night service.",JNB,Software reload,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,2.3,13800
WO-70053,D-AXFE-1A,D-AXFE,1A,2026-04-24T05:00:00Z,2026-05-05T05:00:00Z,F-23-3401,"IFE at 1A went black mid-flight, came back after approx. 20 min.",SIN,Software reload,,CONFIRMED_FAULT,Defect confirmed on bench test,1.1,0
WO-70134,D-AXFB-3A,D-AXFB,3A,2026-05-09T14:00:00Z,2026-05-19T14:00:00Z,F-25-2101,"3A recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",MUC,Harness segment replaced,DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,0.9,33800
WO-70035,D-AXFE-3K,D-AXFE,3K,2026-05-14T07:00:00Z,2026-05-22T07:00:00Z,F-23-3401,"3K screen off after 6 hrs cruise, seat box very warm to the touch.",JFK,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,2.5,0
WO-70080,D-AXFD-3K,D-AXFD,3K,2026-05-18T20:00:00Z,2026-05-28T20:00:00Z,F-25-2188,"Privacy divider 3K does not fully stow for landing, had to be pushed by hand.",HND,Software reload,,CONFIRMED_FAULT,Defect confirmed on bench test,2.0,20000
WO-70086,D-AXFB-3K,D-AXFB,3K,2026-05-22T22:00:00Z,2026-05-30T22:00:00Z,F-25-2188,"Privacy divider 3K does not fully stow for landing, had to be pushed by hand.",GRU,Component replaced,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,0.6,13800
WO-70070,D-AXFD-4K,D-AXFD,4K,2026-05-28T13:00:00Z,2026-06-04T13:00:00Z,F-25-2101,"Suite 4K: backrest moves very slowly, pax complained twice during cruise.",SIN,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,3.4,20000
WO-70114,D-AXFB-3A,D-AXFB,3A,2026-05-31T13:00:00Z,2026-06-01T13:00:00Z,F-25-2101,"Seat 3A backrest jerky, would not go flat for the night service.",JFK,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,1.4,20000
WO-70027,D-AXFD-3A,D-AXFD,3A,2026-06-03T15:00:00Z,2026-06-09T15:00:00Z,F-25-2140,"Intermittent loss of seat control 3A, happened three times, always around turbulence.",FRA,Connector re-seated and locked,DA-ACT-2201,NFF,No fault found on bench test,3.7,35250
WO-70069,D-AXFE-4K,D-AXFE,4K,2026-06-08T00:00:00Z,2026-06-20T00:00:00Z,F-25-2166,"USB socket 4K not charging, pax used the spare seat.",FRA,Connector re-seated and locked,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,4.6,3800
WO-70128,D-AXFB-3K,D-AXFB,3K,2026-06-18T23:00:00Z,2026-06-20T23:00:00Z,F-25-2140,"3K: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",GRU,Harness segment replaced,DA-ACT-2205,NFF,No fault found on bench test,5.0,25250
WO-70074,D-AXFD-3K,D-AXFD,3K,2026-06-19T21:00:00Z,2026-07-01T21:00:00Z,F-25-2166,"3K: USB dead, no light on the port.",JFK,Cleaning and lubrication,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,3.2,3800
WO-70046,D-AXFC-3A,D-AXFC,3A,2026-06-21T06:00:00Z,2026-06-22T06:00:00Z,F-23-3401,"IFE at 3A went black mid-flight, came back after approx. 20 min.",JNB,Harness segment replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,2.4,3800
WO-70022,D-AXFC-2A,D-AXFC,2A,2026-06-26T22:00:00Z,2026-07-02T22:00:00Z,,"2A cushion cover loose, cosmetic only.",FRA,"Functional test only, no defect found",,CONFIRMED_FAULT,Defect confirmed on bench test,0.7,0
WO-70018,D-AXFF-4K,D-AXFF,4K,2026-06-30T07:00:00Z,2026-07-12T07:00:00Z,F-23-3401,"4K screen off after 6 hrs cruise, seat box very warm to the touch.",JFK,"Functional test only, no defect found",DA-HRN-7712,NFF,No fault found on bench test,1.0,5250
WO-70112,D-AXFA-4A,D-AXFA,4A,2026-07-07T12:00:00Z,2026-07-11T12:00:00Z,F-25-2188,"Privacy divider 4A does not fully stow for landing, had to be pushed by hand.",FRA,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,4.1,20000
WO-70056,D-AXFA-3A,D-AXFA,3A,2026-07-15T10:00:00Z,2026-07-25T10:00:00Z,F-25-2166,"3A: USB dead, no light on the port.",JNB,Component replaced,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,0.7,3800
WO-70040,D-AXFF-4K,D-AXFF,4K,2026-07-31T08:00:00Z,2026-08-02T08:00:00Z,,"Suite 4K: cosmetic scuff on the table edge, no function impact.",JFK,"Functional test only, no defect found",,CONFIRMED_FAULT,Defect confirmed on bench test,3.7,0
